campus_id,timestamp,apparent_temperature,air_temperature,dew_point_temperature,relative_humidity,wind_speed,wind_direction
1,2025-01-04 08:00:00,17.4,24.7,11.6,34.4,9.8,315.4
1,2025-01-04 09:00:00,20.8,24.3,13.4,45.5,5.8,355.4
1,2025-01-04 10:00:00,24.6,26.5,14.7,41.0,3.6,323.3
1,2025-01-04 11:00:00,18.7,27.2,15.8,43.1,13.7,290.3
1,2025-01-04 12:00:00,14.0,23.8,13.2,47.0,14.8,121.8
1,2025-01-04 13:00:00,8.2,20.7,10.2,47.3,17.6,124.9
1,2025-01-04 14:00:00,4.9,17.9,7.2,46.6,17.4,123.6
1,2025-01-04 15:00:00,17.3,20.2,10.3,50.4,4.1,110.5
1,2025-01-04 16:00:00,10.9,15.4,6.8,56.9,5.4,308.3
1,2025-01-04 17:00:00,9.5,12.6,6.3,68.7,3.4,252.9
1,2025-01-04 18:00:00,-3.6,7.3,1.3,70.2,13.3,3.8
1,2025-01-04 19:00:00,4.7,7.9,4.2,81.7,3.0,252.0
1,2025-01-04 20:00:00,-3.7,6.8,1.3,72.3,12.7,278.1
1,2025-01-04 21:00:00,-5.9,5.6,1.1,77.4,14.0,242.9
1,2025-01-04 22:00:00,-2.2,5.3,-0.4,71.7,8.0,196.1
1,2025-01-04 23:00:00,-5.5,6.7,3.6,84.3,15.6,226.7
1,2025-01-05 00:00:00,-4.7,6.4,2.7,81.6,13.8,249.6
1,2025-01-05 01:00:00,-0.0,7.7,2.3,73.0,8.9,32.6
1,2025-01-05 02:00:00,3.1,8.9,2.3,66.9,6.2,190.5
1,2025-01-05 03:00:00,-2.3,10.1,1.3,56.0,15.2,239.7
1,2025-01-05 04:00:00,4.7,17.0,9.5,62.6,17.6,216.8
1,2025-01-05 05:00:00,7.1,14.1,4.2,50.7,8.1,322.8
1,2025-01-05 06:00:00,15.6,19.2,9.0,48.9,4.5,42.0
1,2025-01-05 07:00:00,13.4,18.7,8.3,47.8,6.7,43.4
1,2025-01-05 08:00:00,16.5,22.5,11.3,44.2,8.5,34.1
1,2025-01-05 09:00:00,23.2,26.8,16.4,47.8,7.3,233.2
1,2025-01-05 10:00:00,11.4,23.2,11.3,40.3,16.5,275.5
1,2025-01-05 11:00:00,22.1,25.8,13.4,38.2,5.6,176.2
1,2025-01-05 12:00:00,17.7,21.4,10.7,46.4,5.1,75.5
1,2025-01-05 13:00:00,14.6,20.7,11.0,51.4,8.9,230.4
1,2025-01-05 14:00:00,9.8,18.2,8.3,50.5,11.3,233.7
1,2025-01-05 15:00:00,13.0,19.8,10.7,54.4,9.9,252.5
1,2025-01-05 16:00:00,0.3,12.4,3.9,57.4,15.5,153.4
1,2025-01-05 17:00:00,-1.9,12.7,4.7,59.8,19.3,303.2
1,2025-01-05 18:00:00,-0.7,10.3,3.7,66.8,14.0,212.8
1,2025-01-05 19:00:00,6.8,12.3,6.0,68.4,6.8,283.8
1,2025-01-05 20:00:00,-4.4,4.8,0.6,79.1,10.7,59.5
1,2025-01-05 21:00:00,-10.5,5.2,1.9,83.6,20.2,154.5
1,2025-01-05 22:00:00,-6.1,4.3,-0.9,73.8,12.1,223.3
1,2025-01-05 23:00:00,3.0,6.0,2.5,82.7,2.2,294.8
1,2025-01-06 00:00:00,-4.1,4.8,2.0,86.0,10.5,161.3
1,2025-01-06 01:00:00,1.4,7.3,2.8,77.5,6.5,84.6
1,2025-01-06 02:00:00,-3.3,11.1,4.7,68.1,19.1,352.1
1,2025-01-06 03:00:00,-3.9,9.8,2.4,62.8,17.4,315.3
1,2025-01-06 04:00:00,14.9,18.1,9.5,57.2,4.4,64.9
1,2025-01-06 05:00:00,13.3,18.4,10.1,58.7,7.4,167.3
1,2025-01-06 06:00:00,15.9,23.2,14.2,55.1,12.1,143.8
1,2025-01-06 07:00:00,14.8,21.0,10.7,48.7,8.9,45.3
1,2025-01-06 08:00:00,14.8,22.0,10.6,43.1,9.9,13.8
1,2025-01-06 09:00:00,23.9,26.6,15.3,43.7,5.3,250.2
1,2025-01-06 10:00:00,17.1,24.2,13.8,48.1,11.2,114.4
1,2025-01-06 11:00:00,25.6,25.2,13.9,43.4,0.2,340.6
1,2025-01-06 12:00:00,21.0,25.9,14.6,43.5,8.1,174.1
1,2025-01-06 13:00:00,22.5,25.9,15.6,48.7,6.8,280.3
1,2025-01-06 14:00:00,13.9,20.0,9.7,48.7,8.3,331.2
1,2025-01-06 15:00:00,10.8,16.8,9.2,62.2,8.4,189.3
1,2025-01-06 16:00:00,10.6,14.9,7.6,63.7,5.5,160.9
1,2025-01-06 17:00:00,-1.0,9.5,2.6,65.3,13.0,105.4
1,2025-01-06 18:00:00,-2.3,6.7,1.5,74.1,10.5,295.9
1,2025-01-06 19:00:00,8.3,11.9,7.1,76.2,4.4,264.2
1,2025-01-06 20:00:00,-1.0,6.8,1.2,72.0,8.8,17.3
1,2025-01-06 21:00:00,-9.8,2.6,-1.0,82.0,14.9,248.7
1,2025-01-06 22:00:00,-0.7,7.8,3.2,77.0,10.3,104.1
1,2025-01-06 23:00:00,-5.7,6.8,4.0,85.8,16.2,240.2
1,2025-01-07 00:00:00,-3.4,6.5,1.1,72.8,11.8,170.7
1,2025-01-07 01:00:00,2.5,10.5,5.3,74.0,10.2,280.7
1,2025-01-07 02:00:00,-3.1,9.3,2.1,64.0,15.6,210.3
1,2025-01-07 03:00:00,4.6,10.7,2.5,59.1,6.6,94.9
1,2025-01-07 04:00:00,7.0,17.5,9.2,58.5,14.8,49.4
1,2025-01-07 05:00:00,5.5,15.1,7.4,61.4,12.9,259.4
1,2025-01-07 06:00:00,13.8,21.3,10.9,48.2,10.8,17.2
1,2025-01-07 07:00:00,11.4,21.3,10.6,46.4,13.9,26.9
1,2025-01-07 08:00:00,9.5,21.4,9.3,39.5,16.0,128.1
1,2025-01-07 09:00:00,17.0,24.4,13.3,44.5,11.3,274.3
1,2025-01-07 10:00:00,29.2,27.7,17.0,46.3,0.2,154.6
1,2025-01-07 11:00:00,22.0,24.7,12.8,40.3,4.0,344.3
1,2025-01-07 12:00:00,17.2,25.4,12.9,37.6,11.8,53.6
1,2025-01-07 13:00:00,10.8,22.6,11.6,45.1,17.0,54.5
1,2025-01-07 14:00:00,16.3,20.5,9.6,45.3,5.4,158.8
1,2025-01-07 15:00:00,13.3,17.3,8.8,57.7,5.4,289.9
1,2025-01-07 16:00:00,5.7,13.9,5.6,58.4,10.3,347.3
1,2025-01-07 17:00:00,7.3,12.9,6.9,70.2,7.2,241.0
1,2025-01-07 18:00:00,8.4,10.3,5.4,75.4,1.4,162.2
1,2025-01-07 19:00:00,-3.5,8.1,3.1,75.0,14.6,163.5
1,2025-01-07 20:00:00,-9.0,5.7,2.1,81.9,18.8,7.5
1,2025-01-07 21:00:00,-6.4,7.5,3.5,79.8,18.1,8.1
1,2025-01-07 22:00:00,-8.0,4.5,-0.7,74.2,15.1,166.0
1,2025-01-07 23:00:00,4.5,7.2,2.3,75.5,1.8,150.0
1,2025-01-08 00:00:00,-2.0,9.1,4.0,74.3,14.2,209.1
1,2025-01-08 01:00:00,-1.1,11.6,5.1,67.6,16.8,262.6
1,2025-01-08 02:00:00,0.4,10.5,4.7,71.2,12.9,262.9
1,2025-01-08 03:00:00,3.6,10.5,5.5,75.1,8.6,124.1
1,2025-01-08 04:00:00,8.8,14.8,6.8,59.8,7.6,289.1
1,2025-01-08 05:00:00,15.5,17.5,9.9,62.2,3.0,42.4
1,2025-01-08 06:00:00,19.6,23.4,14.8,57.1,7.5,162.8
1,2025-01-08 07:00:00,8.2,19.2,8.5,46.3,14.9,264.2
1,2025-01-08 08:00:00,23.1,24.9,12.6,38.6,2.5,347.9
1,2025-01-08 09:00:00,23.9,24.0,14.3,51.5,1.7,216.5
1,2025-01-08 10:00:00,21.7,27.1,14.6,37.5,8.3,185.4
1,2025-01-08 11:00:00,16.2,24.3,13.5,46.1,12.5,15.7
1,2025-01-08 12:00:00,13.3,20.3,9.4,45.4,9.3,179.9
1,2025-01-08 13:00:00,11.2,22.6,12.0,46.8,16.6,22.8
1,2025-01-08 14:00:00,18.7,22.3,11.5,45.8,5.2,313.9
1,2025-01-08 15:00:00,15.6,18.2,8.0,48.9,2.8,118.6
1,2025-01-08 16:00:00,5.5,14.1,7.0,64.6,11.4,195.1
1,2025-01-08 17:00:00,10.1,12.6,5.2,63.0,2.2,353.6
1,2025-01-08 18:00:00,-5.7,9.5,3.0,67.5,19.8,106.3
1,2025-01-08 19:00:00,2.0,10.1,3.4,66.6,9.7,210.0
1,2025-01-08 20:00:00,-2.1,4.8,0.4,78.0,7.3,269.9
1,2025-01-08 21:00:00,-3.3,5.3,-2.0,63.3,9.2,205.2
1,2025-01-08 22:00:00,-0.6,6.9,2.5,78.0,8.6,348.7
1,2025-01-08 23:00:00,-14.4,4.6,-1.1,71.6,24.3,133.0
1,2025-01-09 00:00:00,3.8,10.3,7.5,86.0,8.6,37.7
1,2025-01-09 01:00:00,0.2,6.6,4.0,86.8,7.4,343.3
1,2025-01-09 02:00:00,0.7,8.8,4.2,76.8,9.9,135.6
1,2025-01-09 03:00:00,6.2,13.5,5.4,59.5,9.0,346.5
1,2025-01-09 04:00:00,8.5,13.4,4.2,54.1,5.2,349.0
1,2025-01-09 05:00:00,5.7,14.6,6.3,58.6,11.6,340.4
1,2025-01-09 06:00:00,10.8,20.2,9.8,47.8,13.0,320.5
1,2025-01-09 07:00:00,9.6,19.4,9.4,49.8,13.6,282.4
1,2025-01-09 08:00:00,19.0,22.8,11.4,43.2,5.3,144.9
1,2025-01-09 09:00:00,19.0,23.9,12.0,40.6,7.0,288.5
1,2025-01-09 10:00:00,25.0,26.6,13.0,32.2,1.9,328.6
1,2025-01-09 11:00:00,23.0,26.1,15.1,44.9,5.8,72.2
1,2025-01-09 12:00:00,21.3,26.1,14.7,42.8,8.0,118.3
1,2025-01-09 13:00:00,17.0,24.3,12.6,41.3,10.6,69.8
1,2025-01-09 14:00:00,14.2,20.2,10.4,51.2,8.5,172.3
1,2025-01-09 15:00:00,10.3,16.9,6.1,45.8,7.9,316.1
1,2025-01-09 16:00:00,10.1,14.1,4.9,54.0,4.1,94.1
1,2025-01-09 17:00:00,10.7,12.9,4.0,55.6,1.3,317.2
1,2025-01-09 18:00:00,1.8,13.3,7.6,71.5,15.8,79.7
1,2025-01-09 19:00:00,5.4,12.3,7.0,73.7,9.1,317.9
1,2025-01-09 20:00:00,-3.6,6.9,2.9,80.1,13.1,92.0
1,2025-01-09 21:00:00,-5.8,5.3,1.7,82.2,13.6,183.6
1,2025-01-09 22:00:00,-5.1,6.1,1.1,75.2,13.6,139.6
1,2025-01-09 23:00:00,-8.3,5.1,3.8,93.7,17.3,31.5
1,2025-01-10 00:00:00,6.4,9.2,4.0,74.1,2.3,238.0
1,2025-01-10 01:00:00,-3.5,7.7,2.5,73.9,14.0,337.8
1,2025-01-10 02:00:00,2.7,10.4,3.4,65.2,9.2,334.0
1,2025-01-10 03:00:00,-1.2,6.9,0.1,65.8,8.9,238.7
1,2025-01-10 04:00:00,-0.1,13.7,5.8,60.6,18.4,271.1
1,2025-01-10 05:00:00,14.1,17.2,10.7,67.4,4.9,27.2
1,2025-01-10 06:00:00,18.3,21.1,12.3,55.8,4.9,117.8
1,2025-01-10 07:00:00,7.5,19.4,6.5,35.3,15.0,49.9
1,2025-01-10 08:00:00,16.9,22.0,10.3,41.7,6.7,93.9
1,2025-01-10 09:00:00,18.2,26.3,13.9,37.8,12.0,22.7
1,2025-01-10 10:00:00,19.5,27.7,13.9,30.9,11.4,28.0
1,2025-01-10 11:00:00,14.5,23.8,11.1,36.5,12.6,234.5
1,2025-01-10 12:00:00,14.3,22.4,10.8,41.9,11.2,36.0
1,2025-01-10 13:00:00,25.3,24.7,14.3,47.9,0.4,48.8
1,2025-01-10 14:00:00,14.0,19.4,9.9,52.3,7.6,169.4
1,2025-01-10 15:00:00,15.5,17.5,9.4,59.7,2.7,185.8
1,2025-01-10 16:00:00,5.0,15.7,5.6,49.6,13.8,240.5
1,2025-01-10 17:00:00,0.4,13.1,5.3,61.1,16.7,118.3
1,2025-01-10 18:00:00,-3.0,9.5,3.1,68.1,15.9,78.3
1,2025-01-10 19:00:00,-1.9,8.0,3.0,75.1,12.2,293.9
1,2025-01-10 20:00:00,-7.5,3.7,0.0,81.6,13.3,198.3
1,2025-01-10 21:00:00,-4.9,5.8,-0.5,68.7,12.5,338.9
1,2025-01-10 22:00:00,-4.6,6.3,3.0,83.4,13.6,337.7
1,2025-01-10 23:00:00,-4.1,6.3,0.1,68.9,12.2,246.4
1,2025-01-11 00:00:00,-2.1,6.8,2.0,76.0,10.5,260.5
1,2025-01-11 01:00:00,5.9,10.9,5.3,71.9,5.8,147.3
1,2025-01-11 02:00:00,4.2,10.8,5.0,71.0,8.1,22.5
1,2025-01-11 03:00:00,1.2,11.8,3.2,57.1,13.1,280.3
1,2025-01-11 04:00:00,9.3,14.8,7.2,62.1,7.0,55.0
1,2025-01-11 05:00:00,8.2,18.2,7.8,48.2,13.3,105.9
1,2025-01-11 06:00:00,12.9,21.0,11.1,50.5,11.8,139.2
1,2025-01-11 07:00:00,14.4,22.7,12.1,47.1,12.2,126.9
1,2025-01-11 08:00:00,22.6,24.3,14.6,51.5,4.1,66.8
1,2025-01-11 09:00:00,9.6,22.2,8.7,32.5,16.4,119.8
1,2025-01-11 10:00:00,22.1,27.5,17.3,49.1,10.5,160.6
1,2025-01-11 11:00:00,11.7,26.7,15.9,46.0,23.3,62.9
1,2025-01-11 12:00:00,15.5,22.1,9.4,36.4,8.2,347.4
1,2025-01-11 13:00:00,17.2,21.3,11.4,50.5,6.1,201.4
1,2025-01-11 14:00:00,7.9,18.0,7.2,46.1,13.2,308.2
1,2025-01-11 15:00:00,10.0,16.8,8.4,57.9,9.2,146.1
1,2025-01-11 16:00:00,2.5,13.6,6.3,63.7,14.8,155.6
1,2025-01-11 17:00:00,1.6,15.0,8.7,68.4,18.9,50.7
1,2025-01-11 18:00:00,-5.4,9.7,3.8,70.3,19.8,70.7
1,2025-01-11 19:00:00,-0.7,4.8,1.1,81.4,5.4,161.5
1,2025-01-11 20:00:00,1.0,10.9,5.8,74.4,13.0,131.6
1,2025-01-11 21:00:00,-1.8,5.6,-0.0,71.8,7.9,19.5
1,2025-01-11 22:00:00,-10.5,3.9,-1.6,72.4,17.6,161.2
1,2025-01-11 23:00:00,3.2,8.1,3.3,76.2,5.1,19.9
1,2025-01-12 00:00:00,-4.9,7.0,1.2,71.1,14.6,267.1
1,2025-01-12 01:00:00,8.7,11.4,3.7,61.6,2.1,296.6
1,2025-01-12 02:00:00,-0.1,8.4,2.5,70.4,10.1,62.8
1,2025-01-12 03:00:00,4.0,13.0,5.8,64.2,11.6,322.1
1,2025-01-12 04:00:00,3.0,15.8,7.6,59.2,17.5,65.8
1,2025-01-12 05:00:00,7.4,17.1,6.6,47.7,12.5,330.7
1,2025-01-12 06:00:00,13.4,19.0,8.5,47.6,7.2,137.6
1,2025-01-12 07:00:00,16.3,23.6,11.4,38.9,10.1,306.1
1,2025-01-12 08:00:00,7.6,22.9,12.6,48.6,22.5,127.7
1,2025-01-12 09:00:00,23.9,26.8,14.7,39.7,5.0,350.3
1,2025-01-12 10:00:00,22.4,24.4,13.2,43.8,3.5,126.3
1,2025-01-12 11:00:00,22.2,25.6,13.7,40.7,5.4,100.7
1,2025-01-12 12:00:00,14.5,21.3,10.5,46.2,9.5,139.2
1,2025-01-12 13:00:00,20.0,24.0,12.6,43.0,6.1,347.4
1,2025-01-12 14:00:00,15.7,22.0,13.2,56.0,10.3,8.7
1,2025-01-12 15:00:00,7.2,16.3,7.9,58.1,12.4,279.6
1,2025-01-12 16:00:00,4.1,13.8,6.6,64.0,12.9,72.5
1,2025-01-12 17:00:00,4.5,12.1,5.3,66.1,9.6,147.4
1,2025-01-12 18:00:00,5.7,12.8,8.0,76.2,9.8,108.1
1,2025-01-12 19:00:00,0.4,8.7,3.8,75.7,10.1,110.0
1,2025-01-12 20:00:00,-2.8,4.5,-0.4,75.7,7.7,144.1
1,2025-01-12 21:00:00,-7.8,1.6,-2.4,80.2,10.3,169.0
1,2025-01-12 22:00:00,-7.0,3.7,-0.3,80.1,12.6,215.6
1,2025-01-12 23:00:00,-3.9,9.3,4.5,76.2,17.4,297.6
1,2025-01-13 00:00:00,-5.0,5.6,-0.7,68.7,12.3,237.5
1,2025-01-13 01:00:00,-5.7,5.5,-0.0,72.4,13.4,38.6
1,2025-01-13 02:00:00,-4.9,8.1,0.0,59.5,15.9,227.6
1,2025-01-13 03:00:00,4.9,12.8,6.2,67.2,10.2,126.1
1,2025-01-13 04:00:00,13.2,19.7,12.4,63.3,10.4,174.7
1,2025-01-13 05:00:00,6.6,16.1,7.7,58.1,12.8,115.4
1,2025-01-13 06:00:00,10.5,18.2,6.1,39.3,9.2,273.3
1,2025-01-13 07:00:00,21.8,23.2,12.8,48.2,2.7,311.2
1,2025-01-13 08:00:00,17.5,24.0,13.5,47.5,10.3,15.6
1,2025-01-13 09:00:00,19.5,25.5,13.6,40.5,9.1,13.8
1,2025-01-13 10:00:00,25.9,28.4,17.2,44.0,5.8,343.5
1,2025-01-13 11:00:00,14.2,23.7,13.1,47.2,14.3,64.3
1,2025-01-13 12:00:00,14.0,25.5,14.6,45.3,17.7,155.4
1,2025-01-13 13:00:00,17.9,22.9,13.5,52.8,8.4,271.0
1,2025-01-13 14:00:00,15.2,18.9,9.0,50.6,4.7,116.6
1,2025-01-13 15:00:00,9.0,17.5,7.4,49.3,11.0,251.5
1,2025-01-13 16:00:00,5.9,14.3,7.9,68.1,11.5,201.5
1,2025-01-13 17:00:00,3.3,14.4,6.3,59.4,14.7,290.5
1,2025-01-13 18:00:00,-0.8,9.3,5.0,78.4,13.1,353.2
1,2025-01-13 19:00:00,5.1,10.4,5.6,76.0,6.3,131.0
1,2025-01-13 20:00:00,-1.1,5.4,0.9,77.7,6.9,135.3
1,2025-01-13 21:00:00,-9.0,5.6,-0.7,68.4,18.1,50.0
1,2025-01-13 22:00:00,-10.4,4.7,0.0,76.6,19.0,104.6
1,2025-01-13 23:00:00,-2.2,6.4,2.2,79.0,10.1,69.0
1,2025-01-14 00:00:00,-5.3,7.1,2.5,76.8,15.7,170.9
1,2025-01-14 01:00:00,-2.6,7.5,2.0,72.7,12.3,304.7
1,2025-01-14 02:00:00,5.7,11.4,4.6,65.9,6.6,181.2
1,2025-01-14 03:00:00,9.2,14.6,6.7,60.3,6.7,140.4
1,2025-01-14 04:00:00,10.7,13.8,5.4,57.9,3.0,76.9
1,2025-01-14 05:00:00,9.1,18.0,8.6,53.1,12.1,194.6
1,2025-01-14 06:00:00,10.5,18.7,7.5,44.0,10.4,345.7
1,2025-01-14 07:00:00,16.9,21.7,11.2,47.6,7.0,235.4
1,2025-01-14 08:00:00,16.8,21.1,9.5,41.8,5.4,294.8
1,2025-01-14 09:00:00,13.0,24.4,12.4,39.8,16.3,18.8
1,2025-01-14 10:00:00,19.3,25.8,13.2,37.2,9.4,277.5
1,2025-01-14 11:00:00,13.4,20.9,8.5,38.2,9.5,329.8
1,2025-01-14 12:00:00,9.2,23.0,10.3,36.3,18.8,335.5
1,2025-01-14 13:00:00,21.0,23.9,13.4,47.4,5.0,233.5
1,2025-01-14 14:00:00,10.8,20.7,11.7,55.1,14.8,342.7
1,2025-01-14 15:00:00,8.3,17.2,6.0,43.9,11.1,333.4
1,2025-01-14 16:00:00,4.3,15.1,5.5,52.0,13.9,302.9
1,2025-01-14 17:00:00,5.9,11.1,4.1,65.0,5.8,136.5
1,2025-01-14 18:00:00,1.4,11.3,3.8,62.7,12.4,107.4
1,2025-01-14 19:00:00,1.1,9.3,4.8,77.7,10.3,257.4
1,2025-01-14 20:00:00,0.5,7.7,3.6,79.5,8.5,247.5
1,2025-01-14 21:00:00,-5.8,8.0,3.6,78.2,18.0,205.3
1,2025-01-14 22:00:00,-3.7,4.1,-1.1,73.8,8.3,291.0
1,2025-01-14 23:00:00,-1.4,5.6,1.5,79.7,7.7,91.2
1,2025-01-15 00:00:00,-10.4,3.2,-1.2,78.2,16.6,227.8
1,2025-01-15 01:00:00,-5.5,3.7,-1.3,74.8,10.2,77.6
1,2025-01-15 02:00:00,2.6,11.7,6.1,71.9,12.0,245.8
1,2025-01-15 03:00:00,1.7,11.6,2.3,53.3,11.9,197.3
1,2025-01-15 04:00:00,6.1,14.1,6.4,61.5,10.4,91.3
1,2025-01-15 05:00:00,14.0,21.3,12.5,55.8,11.3,272.2
1,2025-01-15 06:00:00,8.4,20.7,10.4,48.7,17.5,329.4
1,2025-01-15 07:00:00,9.9,23.4,12.5,45.6,19.8,123.1
1,2025-01-15 08:00:00,14.6,23.2,12.8,47.8,13.0,266.3
1,2025-01-15 09:00:00,18.2,23.9,11.5,37.8,7.7,102.7
1,2025-01-15 10:00:00,21.1,22.0,11.5,47.4,1.4,270.6
1,2025-01-15 11:00:00,16.0,25.2,12.1,34.6,12.6,28.9
1,2025-01-15 12:00:00,9.3,23.0,10.6,37.8,18.8,257.8
1,2025-01-15 13:00:00,14.3,23.5,13.2,48.7,14.1,286.1
1,2025-01-15 14:00:00,17.2,20.7,12.4,58.3,6.0,87.6
1,2025-01-15 15:00:00,16.4,17.3,7.8,52.4,0.4,293.1
1,2025-01-15 16:00:00,12.9,19.9,12.5,62.8,11.1,306.4
